Project,Purpose of Project,Partners,Funding Amount,Leveraged Funds,Other Funding Sources,Headquarters,Delivery Location,Venue/Site,Target Population,Gender,Lower Age,Upper Age,Project Start Date,Project End Date,Duration,Website,Intervention Type,Common Risk Factor,Non MSP Projects,Tax Payer Funding,Address
Dalhousie University;UpLift,The project is  promoting healthy behaviours among school-aged children and their families.,Queen Elizabeth II Health Sciences Foundation; Dalhousie Medical Research Foundation; ScotiaBank; Dalhousie HPI private sector grant,"4,997,700.00","1,151,437.00",0.00,Halifax,NS,Schools,Students primary to grade 9,All,6,14,Jan-2019,Dec-2023,4- year project,http://www.onthemovepartnership.ca/people/partners/ahprc/,Training/Curriculum-based,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating,,,"5968 College Street, Halifax, NS"
FitSpirit Community Organization/Organisation Communautaire FitSpirit;FitSpirit Healthy Lifestyles for Teen Girls,"The project is empowering girls to adopt healthy lifesyle habits through school-based structured physical activity programing and workshops focused on nutrition, sleep and mental well-being.","AON Canada; Scotiabank; Bank of Montreal; Boralex; Caisse de dépôt et de placement du Québec; Deloitte; Ernst & Young; Fondation Eric T. Webster; Molson Foundation; CIBC Children's Foundation; TD Canada Trust; Industries Lassonde Inc.; KPMG; McKesson Canada; Power Corporation; Procter & Gamble Inc.; Robko Inc.; Sanimax; Saputo Inc.; SSQ Assurance; Private Donor; TFI International Inc.; WSP Global; Stikeman Elliott LLP; Ministère de l'Éducation, du Loisir et du Sport du Québec; Royal Bank of Canada; McCarthy Tétrault ","2,777,725.00","2,906,334.00","450,000.00",Sainte-Thérèse,"QC, ON, BC, NS",Schools,Girls aged 12-17,Female,12,17,Dec-2018,Mar-2022,3.5 year poject,https://www.fitspirit.ca/,Training/Curriculum-based,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating,,,"141 Saint-Charles Street, Saint-Therese, Quebec"
"Heart and Stroke Foundation;ACTIVATE (Community Hypertension Prevention Initiative)

","This project is funded through a social impact bond, with private investors providing upfront capital, which PHAC will repay based on successful outcomes. ","Bealight Foundation; Catherine Donnelly Foundation,Doboto Ltd; Frederick Hyndman;  individual partner; Heart and Stroke Foundaition of Ontario; Ian and Andre Cockwell, Illumina Social Impact Partners Inc.; J.W. McConnell Family Foundation, Max Bell Foundation; Mindset Foundation; QBE;  Royal Bank of Canada; Telus;  MARS Center for Impact Investing; Social Research Demonstration Corporation; Shoppers DrugMart; Loblaws;  Catherine Donnelly Foundation; Centennial College; Armada","4,000,000.00",0.00,,Ottawa,"ON, BC",Digital/Clinical,Adults 40 years and over,All,40,All,Apr-2016,Mar-2021,5 year project,https://www.heartandstroke.ca/activate/,Mobile/Web applications,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating; Smoking,,,"1525 Carling Ave. Ottawa, ON"
LMC Prevention Ltd.;LMC in collaboration with Diabetes Canada: Diabetes Prevention Program,The project promotes physical activity and encourages healthy eating habits for those at risk of type 2 diabetes.,"LifeLabs; mdBriefCase, Diabetes Canada, Intervent","4,454,391.00","2,854,925.00",0.00,Toronto,"ON, QC, AB",Community Setting,Pre-diabetic or at risk of diabetes adults,All,All,All,Nov-2018,Oct-2022,4 - year project,https://www.lmc.ca/,Community-led facilitation,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating,,,"1929 Bayview Avenue, Toronto, ON"
National Ballet School of Canada;Sharing Dance,The project is engaging and supporting youth and seniors of all abilties to dance for a healthy body and mind.,Scotiabank Group; Shaw Communications Inc.; William R. and Shirley Beatty Charitable Foundation; The Jack Weinbaum Family Foundation; The LesLois Shaw Foundation; Canadian Tire Jumpstart Charities; Michael and Karen Vukets Family Foundation; The Joan and Jerry Lozinski Foundation; Thomglen Corporation; J.P. Bickell Foundation; Jackman Foundation; The Blidner Family Foundation; Cadillac Fairview Corporation; The McCain Foundation; Thomson Reuters Corporation; Northbridge Financial Corporation; Individual Private Donors; The Globe and Mail; D2L Corporation; Christopher Wilson & Associates; One World Inc.; Ecentricarts Inc.; Triangles Agency,"4,978,252.00","3,235,375.00",0.00,Toronto,"BC, AB, SK, MB, ON, QC, NS, NL, NT, NU","In-peron, Community Setting",Youth and seniors,All,6 for children 60 for seniors,17 for children All for seniors,Dec-2016,Mar-2021,5-year project,https://www.nbs-enb.ca/Home,Community-led facilitation,Physical Inactivity and/or Sedentary Behavior,,,"400 Jarvis St., Toronto, ON"
Nose Creek Sports and Recreation Association (Vivo);Vivo Play Project,The project is promoting play and encouraging families to be more physically active in supportive social environments.,Suncor; Lawson Foundation; Alberta Gaming and Liquor Commission; Vivametrica; Whitewhale Analytics; Anonymous Donor,"1,465,312.00","925,000.00",0.00,Calgary,AB,Community Setting,children 0-18 years,All,0,18,Oct-2018,Sep-2022,4 year project,https://www.vivo.ca/,Community-led facilitation,Physical Inactivity and/or Sedentary Behavior; Built Environment,,,"11950 Country Village Link NE Calgary, Alberta"
ParticipACTION;Let's Get Moving,This project is supporting and encouraging Canadians to sit less and move more through public education and engagement.,Corus Entertainment; Clearbridge Mobile; Gale Partners; Google; Ontario Trillium Foundation; BC Ministry of Health; Government of Newfoundland and Labrador; Sport Canada,"25,000,000.00","9,245,000.00","3,978,000.00",Toronto,All,"Digital, Community Setting",All Canadians,All,All,All,Jul-2018,Mar-2023,5-year project,https://www.participaction.com/,Mobile/Web applications,Physical Inactivity and/or Sedentary Behavior,Yes,,"77 Bloor Street East Toronto, Ontario"
Recreation PEI;go! For IT,This project is addressing social and financial barriers to physical activity participation.,"PEI Mutual Insurance Company; Egg Farmers of PEI; D.P. Murphy Incorporated; Confound Films; Graphcom; Fitness Centres of PEI; Newcap Radio, Gemini Screen Print & Embroidery; StepsCount; local grocery stores; and PEI Food Producer Associations; Province of PEI; Health PEI.","462,700.00","389,000.00","80,000.00",Charlottetown,PE,Community Setting,Adults that are less active,All,18,All,Apr-2019,Jun-2021,28 month project,http://www.recreationpei.ca/,Community-led facilitation,Physical Inactivity and/or Sedentary Behavior,,,40 Enman Crescent Charlottetown
Reebok Canada;Build Our Kids' Success (BOKS),The project is a before school physical activity program for children.,Reebok Foundation; Adidas Canada; Canadian Football League; Propel Center for Health Population Impact,"4,906,048.00","5,272,270.00",0.00,Woodbridge,"QC, NL, BC, NU, NT, NB, NS, SK, AB, YT, MB, ON",Schools,"Elementary school 
children 4 – 11 years of age",All,4,11,Apr-2019,Aug-2021,2.5 year project,https://www.bokskids.ca/,Training/Curriculum-based,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating,,,Woodbridge
Right to Play Canada;Play for Prevention (Phase 2),"The project is addressing diabetes prevention needs of urban First Nations, Inuit and Métis populations.",Jays Care Foundation; Cenovus; Goldcorp;  Microsoft; MLSE Foundation; RBC Foundation; Suncor; Sun Life Financial; Tanenbaum Foundation; Riverside Natural Foods; Great West Life Assurance Company; National Lacrosse League Players' Association; Corporate Travel Management Solutions; Tim Horton's Children's Foundation; Big Little Caravan of Joy; National Lacrosse League; Aboriginal Sport and Wellness Council of Ontario,"1,731,000.00","1,739,150.00",0.00,Toronto,"BC, AB, ON",Community Setting,Indigenous children and youth,All,6,25,Apr-2016,Mar-2021,5-year project,,Community-led facilitation,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating,,,"Toronto, Ontario"
Simon Fraser University;Radius Health Promotion Lab Project,The project is supporting startup organizations with a social purpose to develop and scale-up activities that address modifiable risk factors for chronic diseases.,"BDC; Manning Elliott LLP; Vancity Community Foundation; Vancity Centre, Junxion Strategy (Canada) Inc.; Miller Titerle Law Corporation; Moutain Equipment Co-op; SFU Beedie School of Business, Discovery Foundation; Total Impact Advisors; Royal Bank of Canada","950,000.00","615,000.00",0.00,Burnaby,BC,"University, Community Setting",Adults,All,18,All,Dec-2018,Mar-2021,2.5 year project,https://www.sfu.ca/vpresearch/research-news/profiles-and-features/driving-innovation.html,Intensive/Cohort based,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating; Smoking,,,"8888 University Drive Burnaby, BC"
"Social Planning and Research
Council of British Columbia (SPARC BC);Farm to School: Canada Digs In!",The projet is providing students across Canada with healthy foods and opportunities to foster food literacy.,Whole Kids Foundation; Sustain Ontario; Public Health Association of British Columbia; Heart and Stroke Foundation; Meal Exchange; Equiterre; Farm to Cafeteria Canada; and New Brunswick Department of Agriculture,"1,793,294.00","1,698,000.00","292,000.00",Burnaby,"ON, BC, QC, NB, NL",Schools and university,students,All,4,21,Jun-2017,Sep-2020,3-year project,http://www.farmtocafeteriacanada.ca,Training/Curriculum-based,Unhealthy Eating,,,4445 Norfolk Street Burnaby BC
Southwestern Public Health;Creating Connections,This project is improving walkability within the City of St Thomas.,Doug Tarry Homes Ltd; Hayhoe Homes; Springwater Developments Inc.;  City of St. Thomas,"1,005,450.00","1,004,083.00","718,000.00",City of St. Thomas,ON,Community Setting,All residents of the City of St. Thomas,All,All,All,Aug-2015,Jul-2020,5-year project,https://www.swpublichealth.ca/,Community-led facilitation,Physical Inactivity and/or Sedentary Behavior;Built Environment,,,"1230 Talbot Street St. Thomas, Ontario"
Community Matters Toronto (St. James Town Family Literacy Services);Healthy Living in St. James Town,The project is improving the health of community residents through local activities and workshops.,"Parliament Wellesley  Square; George Westin Foundation; Tom Goldspink; Geoffrey H. Wood Foundation; Manulife, Maple Leaf Sport & Entertainment Ltd.;  Akshay Mihir; Self-Care Catalyst; WoodGreen Community Services; Ontario Ministry of Tourism Culture and Sport","883,665.00","963,000.00","102,576.00",Toronto,ON,Community,Adults,All,All,All,Nov-2014,Mar-2021,6.5-year project,http://communitymatterstoronto.org/,Community-led facilitation,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating; Smoking; Built Environment,,,"260 Wellesley Street East, City Of Toronto, Ontario"
The Apple Schools Foundation;Transforming Healthy School Communities,The project is developing school action plans to encourage healthy eating and physical  activity.,"Canadian Natural Resources  Limited; Inter Pipeline; The Joyce Foundation; Pembina Pipeline; Howard Douglas Farnell Insurance; Allan P. Markin; Statoil; TransCanada PipeLine Ltd; Bouchier Group; Dairy Farmers of Canada; Dave Dorcas & Lynne McAlpine; individual partner; Rotary Club of Edmonton Gateway; University of Alberta; Northland School Division; Northern Light School Division; AMP Financial Inc.
","3,561,045.00","3,565,530.00","25,301.00",Edmonton,"AB, MB, NT, BC",Elementary School children,Children,All,4,12,Mar-2016,Mar-2021,5-year project,http://www.appleschools.ca/,Training/Curriculum-based,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating,,,"8303 112 Street Northwest, Edmonton, AB"
Tremplin Santé;Shape Up!,The project is supporting summer camp programs that incorporate healthy lifestyle habits for underprivileged youth.,"Power Corporation; Saputo; Fondation Marcelle et Jean Coutu; Great West Insurance Company; Molson Foundation; Fondation Chagnon; Bank of Montreal; Scotiabank; Banque Nationale du Canada; Royal Bank of Canada, Heart and Stroke Foundation; CIBC;  TD Canada Trust","1,979,462.00","2,782,650.00",0.00,Quebec,"QC, AB, NB, ON, SK",Summer Camps,"Children 8-12 years
Camp counsellors 16-25",All,8,25,Dec-2018,Mar-2023,4.5 - year project,https://tremplinsante.ca,Community-led facilitation,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating,,,"4500 Boulevard Henri-Bourassa, Québec, QC"
University of Alberta;Partnerships to Improve Housing Developments for the Health & Wellbeing of Aging Populations (Housing for Health),The project is implementing active design features in residential developments.,"Christenson Group of Companies; Jayman Modus; Douglas Sollows Architect; DIRTT Environmental Solutions; Alberta Seniors Communities and Housing Association; Heart & Stroke Foundation of Alberta, NWT & Nunavut; University of Calgary; University of Alberta; Alberta Ministry of Culture & Tourism; Alberta Ministry of Health; Alberta Ministry of Transportation; Alberta Ministry of Seniors & Housing; City of Edmonton; Town of Whitecourt","4,446,460.00","11,075,500.00","1,118,653.00",Edmonton,AB,Community (Housing),Seniors in housing developments,All,All,All,Oct-2018,Sep-2023,5 year project,,Community-led facilitation,Physical Inactivity and/or Sedentary Behavior; Built Environment,,,Edmonton
University of Ottawa;Smart Moms,"The project is helping pregnant women manage their health by enabling them to monitor body weight, phsyical activity, and food intake.","Canadian Obesity Network; Ottawa Dragon Boat Foundation; Fleishman-Hilliard; Pennington Biomedical Research Center; Canadian Society for Exercise Physiology; Maternal infant child & youth research network; Parriag Group
","764,908.00","764,908.00",0.00,Ottawa,"ON, MB, QC",Clincal/Digital,Pregnant women,Female,13,All,Sep-2015,Aug-2020,5-year project,https://www.haloresearch.ca/,Mobile/Web applications,Physical Inactivity and/or Sedentary Behavior; Unhealthy Eating,,,"401 Smyth Rd, Ottawa, ON"
Western University;Hockey Fans In Training,"This project is increasing physical activity levels for middle-aged men at risk of chronic disease through knowledge, trainining, and hockey related activities. ",Western University – Department of Epidemiology and Biostatistics; Faculty of Health and Sciences; Schulich Medicine & Dentistry; The ablegamers charity; AstraZeneca Canada; Canadian Centre for Ethics in Sport; Canadian Obesity Network; Western University – Centre for Studies in Family Medicine; Western University – Hospitality Services; Movember Foundation; Play On! Canada; PRIVIT Inc.; Saint Elizabeth Health Care – Innovation and Business Development; True Sport Foundation; YMCA Canada; Reframe Health Films Inc.; iCONECT CA Inc.; Fischer & Associates; Canadian Institutes of Health Research (CIHR),"2,557,905.00","2,173,802.00","664,306.00","London, Ont","BC, AB, SK, MB, ON, QC, NB, NS","In-person, Community Setting","Male hockey fans, aged 35-66",Male,35,66,Dec-2018,Mar-2022,3.5 year project,https://www.hockeyfansintraining.org/,Community-led facilitation,Physical Inactivity and/or Sedentary Behavior,,,"1465 Richmond Street, London, ON"
Parachute (Leaders in Injury Prevention);Concussion Harmonization Phase II,"This project supports the Minister of Health’s shared mandate commitment towards the implementation of a pan-Canadian concussion strategy and raising awareness for parents, coaches, and athletes on concussion treatment.",,"1,057,339.00",0.00,0.00,Toronto,All,Digital,Children and Adults,All,All,All,Nov-2018,Mar-2020,1.5 years,http://www.parachutecanada.org/,Mobile/Web applications,Other,Yes,,"150 Eglinton Ave East, Toronto, Ontario"
Canadian Society for Exercise Physology;Research Institute Integrated 24 Hour Movement Guidelines for Adults,This project will develop integrated 24-hour movement behaviour guidelines to maximize the health benefits of physical activity for adults and older adults.,ParticipACTION; Queens Univeristy; University of Waterloo; CSEP; CHEO; CIHR,"1,168,816.00","1,470,656.00",0.00,Ottawa,All,Digital,Adults,All,18,All,Mar-2019,Mar-2022,3-year project,https://csepguidelines.ca/,Training/Curriculum-based,Physical Inactivity and/or Sedentary Behavior,Yes,,"495 Richmond Road,Ottawa,Ontario"
